time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-13T09:58:56.450Z,37.6453323,-118.8398361,6.72,1.14,md,10,118,0.008004,0.03,nc,nc72835801,2017-07-13T10:23:02.168Z,"11km E of Mammoth Lakes, California",earthquake,1.37,0.6,0.13,9,automatic,nc,nc
2017-07-13T09:58:34.400Z,37.6468315,-118.8396683,6.23,1.93,md,29,107,0.009355,0.04,nc,nc72835786,2017-07-13T10:20:04.166Z,"11km E of Mammoth Lakes, California",earthquake,0.27,0.4,0.31,25,automatic,nc,nc
2017-07-13T09:58:01.700Z,37.6438332,-118.8366699,6.59,1.38,md,8,135,0.005898,0.03,nc,nc72835791,2017-07-13T10:16:04.143Z,"11km E of Mammoth Lakes, California",earthquake,3.19,1.12,0.06,6,automatic,nc,nc
2017-07-13T09:57:07.340Z,37.6469994,-118.8404999,6.17,1.51,md,21,100,0.009743,0.04,nc,nc72835781,2017-07-13T10:13:02.146Z,"11km E of Mammoth Lakes, California",earthquake,0.35,0.45,0.25,18,automatic,nc,nc
2017-07-13T09:50:23.620Z,12.1718,-88.1622,10,4.4,mb,,188,1.205,1.08,us,us20009vyd,2017-07-13T10:39:50.040Z,"100km SW of Jiquilillo, Nicaragua",earthquake,4.4,1.9,0.059,82,reviewed,us,us
2017-07-13T09:42:52.290Z,37.583168,-118.8421631,4.87,1.01,md,10,228,0.01243,0.08,nc,nc72835731,2017-07-13T09:53:02.102Z,"13km ESE of Mammoth Lakes, California",earthquake,0.94,0.67,0.11,9,automatic,nc,nc
2017-07-13T09:42:09.580Z,37.6458321,-118.838501,6.12,1.05,md,14,104,0.008131,0.03,nc,nc72835726,2017-07-13T09:51:05.105Z,"11km E of Mammoth Lakes, California",earthquake,0.42,0.62,0.07,12,automatic,nc,nc
2017-07-13T09:39:15.950Z,19.2143326,-155.4766693,35.79,1.88,md,37,141,0.03989,0.14,hv,hv61833216,2017-07-13T09:42:38.310Z,"1km NNE of Pahala, Hawaii",earthquake,0.72,0.84,0.02,3,automatic,hv,hv
2017-07-13T09:39:07.200Z,37.5071678,-118.8249969,1.05,1.38,md,13,205,0.08278,0.03,nc,nc72835711,2017-07-13T09:46:03.100Z,"20km SE of Mammoth Lakes, California",earthquake,0.53,1,0.1,10,automatic,nc,nc
2017-07-13T09:19:20.822Z,61.4153,-146.6308,20,1.3,ml,,,,0.68,ak,ak16330949,2017-07-13T09:23:04.514Z,"35km NNW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
